     2    0.11355E+04    0.53707E-01    0.16345E-05    0.33249E+01
     3    0.10577E+04    0.87048E-01    0.32616E-05    0.41825E+01
     4    0.98550E+03    0.96939E-01    0.54255E-05    0.43052E+01
     5    0.92998E+03    0.85123E-01    0.81279E-05    0.39909E+01
     6    0.88974E+03    0.62242E-01    0.11371E-04    0.34717E+01
     7    0.86185E+03    0.39250E-01    0.15158E-04    0.28946E+01
     8    0.84311E+03    0.22547E-01    0.19489E-04    0.23492E+01
     9    0.83139E+03    0.13343E-01    0.24365E-04    0.18812E+01
    10    0.82514E+03    0.96055E-02    0.29787E-04    0.15153E+01
    11    0.82276E+03    0.84787E-02    0.35756E-04    0.12608E+01
    12    0.82447E+03    0.79211E-02    0.42274E-04    0.11154E+01
    13    0.82817E+03    0.71369E-02    0.49341E-04    0.10581E+01
    14    0.83364E+03    0.62066E-02    0.56961E-04    0.10592E+01
    15    0.83975E+03    0.55072E-02    0.65134E-04    0.10974E+01
    16    0.84805E+03    0.52439E-02    0.73861E-04    0.11601E+01
    17    0.85837E+03    0.53674E-02    0.83145E-04    0.12322E+01
    18    0.86942E+03    0.57077E-02    0.92988E-04    0.13011E+01
    19    0.88206E+03    0.61014E-02    0.10339E-03    0.13613E+01
    20    0.89454E+03    0.65001E-02    0.11435E-03    0.14069E+01
    21    0.90766E+03    0.69805E-02    0.12588E-03    0.14450E+01
    22    0.92133E+03    0.76472E-02    0.13797E-03    0.14807E+01
    23    0.93512E+03    0.85539E-02    0.15063E-03    0.15163E+01
    24    0.94939E+03    0.97224E-02    0.16385E-03    0.15543E+01
    25    0.96424E+03    0.11149E-01    0.17764E-03    0.15918E+01
    26    0.97916E+03    0.12809E-01    0.19200E-03    0.16348E+01
    27    0.99458E+03    0.14666E-01    0.20694E-03    0.16827E+01
    28    0.10103E+04    0.16689E-01    0.22244E-03    0.17279E+01
    29    0.10262E+04    0.18900E-01    0.23852E-03    0.17737E+01
    30    0.10426E+04    0.21314E-01    0.25517E-03    0.18103E+01
    31    0.10588E+04    0.23902E-01    0.27240E-03    0.18442E+01
