590 3.945705e-02 2.944090e-03
690 2.283636e-02 1.557155e-03
790 2.521229e-02 1.500195e-03
890 1.555334e-02 8.746688e-04
990 6.735084e-03 3.867194e-04
1090 6.350518e-03 3.351214e-04
1190 4.650427e-03 2.330206e-04
1290 2.595643e-03 1.325016e-04
1390 2.742556e-03 1.312781e-04
1490 1.939053e-03 9.142971e-05
1590 1.181889e-03 5.718673e-05
1690 8.836079e-04 4.282161e-05
1790 7.281609e-04 3.475810e-05
1890 4.450269e-04 2.297193e-05
1990 3.941315e-04 2.044450e-05
2090 3.212465e-04 1.665727e-05
2240 1.844233e-04 7.935242e-06
2440 1.130961e-04 5.722747e-06
2640 7.137417e-05 4.444472e-06
2840 5.241961e-05 3.826762e-06
3140 2.620302e-05 2.254203e-06
3540 1.916691e-05 2.058302e-06
3940 1.570117e-05 2.049107e-06
4340 1.124787e-05 2.101474e-06
4740 9.640478e-06 2.153506e-06
5390 1.181858e-05 1.621534e-06
6290 8.059215e-06 1.974311e-06
7190 1.042736e-05 2.521680e-06
8090 1.055038e-05 3.379367e-06
8990 1.075625e-05 4.873468e-06
