1590 1.218425e-03 5.085760e-05
1690 9.022759e-04 3.534674e-05
1790 7.204082e-04 2.808693e-05
1890 4.789841e-04 2.030174e-05
1990 4.247156e-04 1.745118e-05
2090 3.249758e-04 1.298212e-05
2240 2.187731e-04 6.725333e-06
2440 1.385317e-04 4.631723e-06
2640 8.978762e-05 3.323754e-06
2840 6.929119e-05 2.843129e-06
3140 4.723902e-05 1.521979e-06
3540 3.454622e-05 1.228267e-06
3940 2.761423e-05 1.093518e-06
4340 2.585087e-05 1.059677e-06
4740 2.583145e-05 1.068179e-06
5390 2.446331e-05 7.537590e-07
6290 2.415017e-05 8.446692e-07
7190 2.136560e-05 9.688765e-07
8090 2.136438e-05 1.213673e-06
8990 2.085883e-05 1.583882e-06
