   675   1786.2   59.5
   725   1939.3   66.9
   775   2426.4   67.2
   825   2577.1   68.3
   875   2162.3   53.8
   925   1588.8   39.0
   975   1144.3   29.6
  1025   1068.0   27.2
  1075   1215.7   28.5
  1125   1193.8   29.1
  1175   1141.1   29.8
  1225    924.8   23.1
  1275    771.7   17.9
  1325    723.1   17.7
  1375    754.6   16.6
  1425    847.3   17.0
  1475    718.7   13.8
  1525    625.0   11.3
  1575    468.1   10.2
  1625    395.7    7.9
  1675    390.7    7.0
  1725    396.6    6.9
  1775    390.7    6.9
  1825    336.7    6.2
  1875    276.1    5.2
  1925    238.2    4.5
  1975    242.8    4.6
  2025    245.8    4.9
  2075    229.9    4.5
  2125    194.2    3.8
  2175    170.6    3.4
  2225    140.5    2.8
  2275    135.0    2.6
  2325    128.3    2.4
  2375    124.8    2.7
  2425    115.8    2.2
  2475    100.7    2.2
  2525     96.7    2.3
  2575     83.3    2.0
  2625     85.7    1.8
  2675     83.9    1.9
  2725     76.4    1.8
  2775     71.7    1.8
  2825     62.9    1.7
  2875     57.6    1.6
  2925     57.6    1.6
  2975     56.6    1.6
