650    699	674.5	
700    749	724.5
750    799	774.5
800    849	824.5
850    899	874.5
900    949	924.5
950    999	974.5
1000   1049	1024.5
1050   1099	1074.5
1100   1149	1124.5
1150   1199	1174.5
1200   1249	1224.5
1250   1299	1274.5
1300   1349	1324.5
1350   1399	1374.5
1400   1449	1424.5
1450   1499	1474.5
1500   1549	1524.5
1550   1599	1574.5
1600   1649	1624.5
1650   1699	1674.5
1700   1749	1724.5
1750   1799	1774.5
1800   1849	1824.5
1850   1899	1874.5
1900   1949	1924.5
1950   1999	1974.5
2000   2049	2024.5
2050   2099	2074.5
2100   2149	2124.5
2150   2199	2174.5
2200   2249	2224.5
2250   2299	2274.5
2300   2349	2324.5
2350   2399	2374.5
2400   2449	2424.5
2450   2499	2474.5
2500   2549	2524.5
2550   2599	2574.5
2600   2649	2624.5
2650   2699	2674.5
2700   2749	2724.5
2750   2799	2774.5
2800   2849	2824.5
2850   2899	2874.5
2900   2949	2924.5
2950   2999	2974.5
