2073    212.9    4.8
2274    130.1    3.1
2479     97.4    2.5
2685     73.9    2.0
2883     55.1    1.7
3190     41.5    1.2
3594     32.5    1.1
3996     32.5    1.3
4400     35.9    1.5
4803     37.5    1.8
5406     45.4    1.8
6209     57.0    2.5
7012     70.6    3.6
7917     87.7    5.0
8924     96.2    7.3
