1590 1.451566e-03 2.422835e-04
1690 7.362359e-04 1.962841e-04
1790 8.569276e-04 1.631298e-04
1890 4.689679e-04 1.257771e-04
1990 5.246104e-04 1.066530e-04
2090 3.138987e-04 9.552449e-05
2240 2.342497e-04 4.789314e-05
2440 1.283291e-04 3.753429e-05
2640 6.533684e-05 3.214394e-05
2840 8.772582e-05 2.452497e-05
3140 4.629681e-05 1.283183e-05
3540 3.471141e-05 9.739127e-06
3940 3.850713e-05 7.867727e-06
4340 2.660227e-05 7.000309e-06
4740 2.627427e-05 6.487179e-06
5390 1.662066e-05 4.039004e-06
6290 2.346262e-05 4.366442e-06
7190 2.473736e-05 5.009324e-06
8090 2.392566e-05 6.313348e-06
8990 2.362641e-05 8.064414e-06
