1590 1.197530e-03 5.706516e-05
1690 8.219659e-04 4.171635e-05
1790 7.095265e-04 3.487950e-05
1890 4.698468e-04 2.569415e-05
1990 3.878213e-04 2.189045e-05
2090 3.239607e-04 1.925270e-05
2240 1.938596e-04 9.769924e-06
2440 1.293834e-04 7.276140e-06
2640 8.696693e-05 5.727055e-06
2840 6.461081e-05 4.408591e-06
3140 3.972437e-05 2.331002e-06
3540 3.021510e-05 1.810258e-06
3940 2.877969e-05 1.625814e-06
4340 2.420933e-05 1.468571e-06
4740 2.693651e-05 1.490234e-06
5390 2.203790e-05 9.745074e-07
6290 2.196460e-05 1.115416e-06
7190 2.076654e-05 1.230406e-06
8090 2.479966e-05 1.626951e-06
8990 1.899094e-05 1.974690e-06
